"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"530043","ACKNIT","Acknit Industries ","XT","5.0000","1","ES","E","BSE","220.5000","199.5000","","","-1"
"4732","SKMEGGPROD","Skm Egg Prod Export","EQ","5.0000","1","ES","E","NSE","479.4500","433.8500","","","218960"
"505720","HERCULES","Hercules Hoists","B","5.0000","1","ES","E","BSE","376.3000","250.9000","","","-1"
"533259","SASTASUNDR","Sastasundar Ventures","B","5.0000","1","ES","E","BSE","329.7000","219.8000","","","-1"
"21551","SMSLIFE","SMS Lifesciences","EQ","5.0000","1","ES","E","NSE","622.9000","415.3000","","","98861"
"11689","SUPRAJIT","Suprajit Engineering","EQ","5.0000","1","ES","E","NSE","487.0500","324.7500","","","246338"
"7739","UCAL","UCAL LIMITED","BE","5.0000","1","ES","E","NSE","141.5000","128.1000","","","723115"
"500210","INGERRAND","Ingersoll Rand","A","5.0000","1","ES","E","BSE","3552.1500","2368.1500","","","-1"
"9889","SMARTLINK","Smartlink Holdings","EQ","5.0000","1","ES","E","NSE","206.3000","137.6000","","","326182"
"526381","PATINTLOG","Patel Integrated Logistic","T","1.0000","1","ES","E","BSE","15.9000","14.4000","","","-1"
"509835","PREMSYN","Premier Synthetics","XT","1.0000","1","ES","E","BSE","14.6600","13.2800","","","-1"
"537392","TAAZAINT","Taaza International","X","1.0000","1","ES","E","BSE","13.8900","12.5700","","","-1"
"532218","SOUTHBANK","South Indian Bank","A","1.0000","1","ES","E","BSE","31.4600","20.9800","","","-1"
"532392","CREATIVEYE","Creative Eye","B","1.0000","1","ES","E","BSE","4.6000","3.0800","","","-1"
"523716","ASHIANA","Ashiana Housing","B","5.0000","1","ES","E","BSE","246.3000","164.2000","","","-1"
"506180","EMERGENT","Emergent Industrial Solutions","XT","1.0000","1","ES","E","BSE","99.7500","90.2500","","","-1"
"503776","MODIPON","Modipon","X","1.0000","1","ES","E","BSE","46.0900","37.7100","","","-1"
"531456","MINAXI","Minaxi Textiles","X","1.0000","1","ES","E","BSE","1.8900","1.2700","","","-1"
"13114","ORIENTCER","ORIENT CERATECH LIMITED","BE","5.0000","1","ES","E","NSE","39.9500","36.1500","","","2628114"
"522171","TMTIND-B1","Tmt","XT","1.0000","1","ES","E","BSE","2.9200","2.6600","","","-1"
"13577","VOLTAMP","Voltamp Transformers","EQ","5.0000","1","ES","E","NSE","5914.2000","3942.8000","","","20284"
"7306","VISESHINFO","Visesh Infotecnics","BE","5.0000","1","ES","E","NSE","0.5500","0.4500","","","123424078"
"524711","VISTAPH","Vista Pharmaceuticals","XT","1.0000","1","ES","E","BSE","19.3100","18.5700","","","-1"
"500696","HINDUNILVR","Hindustan Unilever","A","5.0000","1","ES","E","BSE","2724.0000","2228.8000","","","-1"
"6407","LAMBODHARA","Lambodhara Textiles","EQ","5.0000","1","ES","E","NSE","200.6000","133.8000","","","339347"
"4306","SHRIRAMFIN","Shriram Finance Limited","EQ","5.0000","1","ES","E","NSE","2140.1000","1751.0000","","","-1"
"14413","PAGEIND","Page Industries","EQ","5.0000","1","ES","E","NSE","43377.7500","35490.9500","","","2531"
"509069","INFOMEDIA","Infomedia Press","B","1.0000","1","ES","E","BSE","5.4000","4.9000","","","-1"
"532189","ITDC","ITDC","B","5.0000","1","ES","E","BSE","451.0000","300.7000","","","-1"
"542679","DEL","Dhanashree Electronics Li","XT","1.0000","1","ES","E","BSE","38.7500","35.0700","","","-1"
"540136","HPL","Hpl Electric & Power Limi","B","5.0000","1","ES","E","BSE","227.6500","206.0500","","","-1"
"6600","GENUSPAPER","Genus P&B","EQ","5.0000","1","ES","E","NSE","23.2000","15.5000","","","5167717"
"506480","GOCLCORP","GOCL Corp","B","5.0000","1","ES","E","BSE","505.2000","336.8000","","","-1"
